Soma de casos_dengue,Nome
9980,ASSAÍ
9936,JACAREZINHO
9789,SENHOR DO BONFIM
9787,MOGI DAS CRUZES
9784,BARRA DE SÃO FRANCISCO
9769,MACACU-CACERIBU
9745,ITAMARACÁ
9707,LITORAL SUL
9666,PARANAÍBA
9579,REDENÇÃO
9563,IMPERATRIZ
9526,BOQUIRA
9517,ANICUNS
9436,PINDARÉ
9434,NORTE ARAGUAIA
9413,SERTÃO DO MOXOTÓ
9395,CAPELINHA
9330,NHANDEARA
9223,AMPARO
9214,CANINDÉ
9207,NANUQUE
9171,AQUIDAUANA
9071,MATA ALAGOANA
8927,PARAGOMINAS
8900,DRACENA
8891,ALTO PANTANAL
8860,PENEDO
8797,GOIOERÊ
8756,CAMPO BELO
8488,DIANÓPOLIS
8485,CIANORTE
8439,CANARANA
8326,PICOS
8283,CAMPO MAIOR
8165,TRÊS RIOS
8162,SERTÃO DE SENADOR POMPEU
8108,ANGICOS
8087,PEDRA AZUL
8082,ALTO MÉDIO CANINDÉ
8076,SANTANA DO IPANEMA
8026,MIRACEMA DO TOCANTINS
7974,BATURITÉ
7966,BRUMADO
7916,BATATAIS
7899,VALE DO IPANEMA
7854,BAIXA VERDE
7852,ARARIPINA
7842,LITORAL PIAUIENSE
7790,BREJO PERNAMBUCANO
7789,CAMETÁ
7762,MACAU
7758,PIRES DO RIO
7734,SÃO FÉLIX DO XINGU
7702,BRAGANÇA PAULISTA
7667,BOM JESUS DA LAPA
7578,ALTO GUAPORÉ
7572,CASSILÂNDIA
7504,BRASILÉIA
7398,BAIXO PARNAÍBA PIAUIENSE
7354,CAXIAS
7186,RIO VERMELHO
7168,SERRANA DO SERTÃO ALAGOANO
7160,PIANCÓ
7075,SÃO MIGUEL DOS CAMPOS
7005,GUAJARÁ-MIRIM
6905,SÃO MIGUEL DO ARAGUAIA
6848,VALE DO AÇU
6818,MÉDIO MEARIM
6818,VIÇOSA
6780,ARAGARÇAS
6770,IPORÁ
6710,AGRESTE DE ITABAIANA
6689,BRAGANTINA
6643,ITAPIPOCA
6562,PATOS
6551,ARIQUEMES
6548,MANTENA
6275,ITAJAÍ
6229,PIUÍ
6217,OIAPOQUE
6114,ALMENARA
6109,BARRA
6102,SANTA QUITÉRIA
5787,ARINOS
5784,CONCEIÇÃO DO ARAGUAIA
5735,GUARABIRA
5709,LITORAL NORDESTE
5678,CURIMATAÚ OCIDENTAL
5604,PAULO AFONSO
5593,CHAPADAS DO ALTO ITAPECURU
5593,SERRA DE SANTANA
5541,ÓBIDOS
5524,SÃO JOÃO DEL REI
5523,CHAPADA DO ARARIPE
5513,BARRO
5495,BREJO PARAIBANO
5470,SALINAS
5466,ALVORADA D'OESTE
5353,ITAPORANGA
5321,COTEGIPE
5286,GERAIS DE BALSAS
5217,PARANATINGA
5166,TESOURO
5155,SERRA DE SÃO MIGUEL
5113,SERIDÓ ORIENTAL PARAIBANO
5071,NOVO HORIZONTE
4995,RIO NEGRO
4994,BOQUIM
4989,CATU
4977,COLORADO DO OESTE
4965,SERRANA
4940,PACAJUS
4800,CONSELHEIRO LAFAIETE
4788,ITAGUARA
4783,UMARIZAL
4779,CASTANHAL
4711,MADEIRA
4688,FLORAÍ
4677,ITAPEMIRIM
4615,LITORAL DE ARACATI
4596,VALENÇA
4533,ITABAIANA
4496,LIVRAMENTO DO BRUMADO
4438,JEREMOABO
4431,CHAPADINHA
4426,MÉDIO CURU
4425,CHAPADA DOS VEADEIROS
4405,COARI
4370,AURIFLAMA
4363,BARBACENA
4357,GUAMÁ
4338,LITORAL NORTE ALAGOANO
4269,TOBIAS BARRETO
4260,ITAPARICA
4240,DIAMANTINA
4189,SUDESTE DE RORAIMA
4156,AFONSO CLÁUDIO
4152,SÃO RAIMUNDO NONATO
4146,ITACOATIARA
4123,TEFÉ
4117,OLIVEIRA
4081,ALAGOINHAS
4065,ITAPECURU MIRIM
4033,CHAPECÓ
4008,ALAGOANA DO SERTÃO DO SÃO FRANCISCO
3983,CHOROZINHO
3938,IJUÍ
3927,CURIMATAÚ ORIENTAL
3920,CARACARAÍ
3916,SALGADO
3785,ESTÂNCIA
3776,BATALHA
3762,ALTO SOLIMÕES
3759,TOMÉ-AÇU
3722,TARAUACÁ
3683,PROPRIÁ
3525,SERRANA DOS QUILOMBOS
3470,BAIXO CURU
3469,SÃO LOURENÇO
3461,FRANCISCO BELTRÃO
3439,LAVRAS DA MANGABEIRA
3435,VALENÇA DO PIAUÍ
3418,PORTO FRANCO
3409,TATUÍ
3402,SERGIPANA DO SERTÃO DO SÃO FRANCISCO
3261,ESPERANÇA
3256,CARIRI ORIENTAL
3191,SERIDÓ OCIDENTAL PARAIBANO
3166,BAIXO COTINGUIBA
3134,CHAPADA DO APODI
3129,SERRA DO PEREIRO
3116,MÉDIO OESTE
3089,CAPANEMA
3060,PRESIDENTE DUTRA
3053,SAPÉ
3013,MÉDIO PARNAÍBA PIAUIENSE
3002,JALAPÃO
2963,OURO PRETO
2957,CURITIBA
2921,ROSÁRIO
2870,BOTUCATU
2854,PORTO ALEGRE
2847,COREAÚ
2769,FLORIANO
2693,APUCARANA
2650,SENA MADUREIRA
2615,CARIRA
